Country Rank,Country / Territory,WB Code,IFS Code,Region,Country Rank,CPI 2013 Score,Surveys Used,Standard Error,CI_Lower,CI_Upper,Scores_MIN,Scores_MAX,,,,,,,,,,,,,
57,Croatia,HRV,960,EU,57,48,9,3.3,43,53,31,66,,,,,,,,,,,,,
57,Czech Republic,CZE,935,EU,57,48,10,3,43,53,34,62,,,,,,,,,,,,,
57,Namibia,NAM,728,AF,57,48,6,3.4,42,54,38,63,,,,,,,,,,,,,
61,Oman,OMN,449,ME,61,47,5,7.8,34,60,28,69,,,,,,,,,,,,,
61,Slovakia,SVK,936,EU,61,47,8,4.7,39,55,26,62,,,,,,,,,,,,,
63,Cuba,CUB,,AM,63,46,4,4.5,39,53,36,54,,,,,,,,,,,,,
63,Ghana,GHA,652,AF,63,46,9,3.3,41,51,28,58,,,,,,,,,,,,,
63,Saudi Arabia,SAU,456,ME,63,46,5,6.7,35,57,36,72,,,,,,,,,,,,,
66,Jordan,JOR,439,ME,66,45,7,2.4,41,49,36,54,,,,,,,,,,,,,
67,Macedonia,MKD,962,EE,67,44,6,5,36,52,21,55,,,,,,,,,,,,,
67,Montenegro,MNE,943,EE,67,44,4,2.2,40,48,39,49,,,,,,,,,,,,,
69,Italy,ITA,136,EU,69,43,7,2.5,39,47,38,55,,,,,,,,,,,,,
69,Kuwait,KWT,443,ME,69,43,5,3.9,37,49,32,52,,,,,,,,,,,,,
69,Romania,ROU,968,EU,69,43,9,3,38,48,31,57,,,,,,,,,,,,,
72,Bosnia and Herzegovina,BIH,963,EE,72,42,7,2.9,37,47,35,59,,,,,,,,,,,,,
72,Brazil,BRA,223,AM,72,42,8,3.7,36,48,30,62,,,,,,,,,,,,,
72,Sao Tome and Principe,STP,716,AF,72,42,3,5,34,50,32,47,,,,,,,,,,,,,
72,Serbia,SRB,965,EE,72,42,7,3.4,36,48,31,53,,,,,,,,,,,,,
72,South Africa,ZAF,199,AF,72,42,9,2.8,37,47,32,55,,,,,,,,,,,,,
77,Bulgaria,BGR,918,EU,77,41,9,3.3,36,46,26,58,,,,,,,,,,,,,
77,Senegal,SEN,722,AF,77,41,9,1.5,39,43,33,47,,,,,,,,,,,,,
77,Tunisia,TUN,744,ME,77,41,7,1.9,38,44,32,46,,,,,,,,,,,,,
80,China,CHN,924,AP,80,40,9,2.9,35,45,28,55,,,,,,,,,,,,,
80,Greece,GRC,174,EU,80,40,7,4.5,33,47,21,57,,,,,,,,,,,,,
82,Swaziland,SWZ,734,AF,82,39,4,1.8,36,42,35,42,,,,,,,,,,,,,
83,Burkina Faso,BFA,748,AF,83,38,7,3.9,32,44,20,50,,,,,,,,,,,,,
83,El Salvador,SLV,253,AM,83,38,6,2,35,41,31,45,,,,,,,,,,,,,
83,Jamaica,JAM,343,AM,83,38,6,1.8,35,41,31,44,,,,,,,,,,,,,
83,Liberia,LBR,668,AF,83,38,7,3.3,33,43,28,52,,,,,,,,,,,,,
83,Mongolia,MNG,948,AP,83,38,7,2.2,34,42,31,47,,,,,,,,,,,,,
83,Peru,PER,293,AM,83,38,7,2.5,34,42,29,49,,,,,,,,,,,,,
83,Trinidad and Tobago,TTO,369,AM,83,38,4,5.1,30,46,31,52,,,,,,,,,,,,,
83,Zambia,ZMB,754,AF,83,38,8,2.1,35,41,32,50,,,,,,,,,,,,,
91,Malawi,MWI,676,AF,91,37,8,1.7,34,40,31,45,,,,,,,,,,,,,
91,Morocco,MAR,686,ME,91,37,8,2.9,32,42,25,47,,,,,,,,,,,,,
91,Sri Lanka,LKA,524,AP,91,37,7,2.1,34,40,28,44,,,,,,,,,,,,,
94,Algeria,DZA,612,ME,94,36,6,2.8,31,41,25,42,,,,,,,,,,,,,
94,Armenia,ARM,911,EE,94,36,6,3.5,30,42,21,47,,,,,,,,,,,,,
94,Benin,BEN,638,AF,94,36,6,3.4,30,42,25,47,,,,,,,,,,,,,
94,Colombia,COL,233,AM,94,36,7,2,33,39,28,45,,,,,,,,,,,,,
94,Djibouti,DJI,611,AF,94,36,3,8.6,22,50,23,52,,,,,,,,,,,,,
94,India,IND,534,AP,94,36,10,2.2,32,40,24,47,,,,,,,,,,,,,
94,Philippines,PHL,566,AP,94,36,9,2.5,32,40,21,45,,,,,,,,,,,,,
94,Suriname,SUR,366,AM,94,36,3,3.2,31,41,31,42,,,,,,,,,,,,,
102,Ecuador,ECU,248,AM,102,35,6,3.6,29,41,21,46,,,,,,,,,,,,,
102,Moldova,MDA,921,EE,102,35,8,2.8,30,40,25,47,,,,,,,,,,,,,
102,Panama,PAN,283,AM,102,35,6,2.2,31,39,28,42,,,,,,,,,,,,,
102,Thailand,THA,578,AP,102,35,8,1.2,33,37,31,40,,,,,,,,,,,,,
106,Argentina,ARG,213,AM,106,34,8,2.4,30,38,20,40,,,,,,,,,,,,,
106,Bolivia,BOL,218,AM,106,34,7,3.7,28,40,17,47,,,,,,,,,,,,,
106,Gabon,GAB,646,AF,106,34,5,1.5,32,36,31,38,,,,,,,,,,,,,
106,Mexico,MEX,273,AM,106,34,9,1.8,31,37,27,42,,,,,,,,,,,,,
106,Niger,NER,692,AF,106,34,5,3.7,28,40,21,42,,,,,,,,,,,,,
111,Ethiopia,ETH,644,AF,111,33,8,2.5,29,37,21,42,,,,,,,,,,,,,
111,Kosovo,KOS,,EE,111,33,3,2.3,29,37,29,36,,,,,,,,,,,,,
111,Tanzania,TZA,738,AF,111,33,8,2.7,29,37,22,47,,,,,,,,,,,,,
114,Egypt,EGY,469,ME,114,32,7,3.1,27,37,17,44,,,,,,,,,,,,,
114,Indonesia,IDN,536,AP,114,32,9,3.5,26,38,21,50,,,,,,,,,,,,,
116,Albania,ALB,914,EE,116,31,7,2.1,28,34,23,38,,,,,,,,,,,,,
116,Nepal,NPL,558,AP,116,31,5,1.4,29,33,28,35,,,,,,,,,,,,,
116,Vietnam,VNM,582,AP,116,31,8,2.6,27,35,21,41,,,,,,,,,,,,,
119,Mauritania,MRT,682,AF,119,30,5,4.1,23,37,21,42,,,,,,,,,,,,,
119,Mozambique,MOZ,688,AF,119,30,7,2,27,33,23,38,,,,,,,,,,,,,
119,Sierra Leone,SLE,724,AF,119,30,8,2.4,26,34,21,40,,,,,,,,,,,,,
119,Timor-Leste,TLS,537,AP,119,30,3,3.2,25,35,23,34,,,,,,,,,,,,,
123,Belarus,BLR,913,EE,123,29,5,4,22,36,21,43,,,,,,,,,,,,,
