Country Name,Country Code,LifeExp_1960,LifeExp_1961,LifeExp_1962,LifeExp_1963,LifeExp_1964,LifeExp_1965,LifeExp_1966,LifeExp_1967,LifeExp_1968,LifeExp_1969,LifeExp_1970,LifeExp_1971,LifeExp_1972,LifeExp_1973,LifeExp_1974,LifeExp_1975,LifeExp_1976,LifeExp_1977,LifeExp_1978,LifeExp_1979,LifeExp_1980,LifeExp_1981,LifeExp_1982,LifeExp_1983,LifeExp_1984,LifeExp_1985,LifeExp_1986,LifeExp_1987,LifeExp_1988,LifeExp_1989,LifeExp_1990,LifeExp_1991,LifeExp_1992,LifeExp_1993,LifeExp_1994,LifeExp_1995,LifeExp_1996,LifeExp_1997,LifeExp_1998,LifeExp_1999,LifeExp_2000,LifeExp_2001,LifeExp_2002,LifeExp_2003,LifeExp_2004,LifeExp_2005,LifeExp_2006,LifeExp_2007,LifeExp_2008,LifeExp_2009,LifeExp_2010,LifeExp_2011,LifeExp_2012,LifeExp_2013,LifeExp_2014,LifeExp_2015
Chad,TCD,38.0161219512,38.2734390244,38.5288536585,38.7858536585,39.0498780488,39.3332682927,39.6513902439,40.0111463415,40.4119756098,40.8479268293,41.3046097561,41.7612195122,42.1994146341,42.6042926829,42.9683902439,43.2930731707,43.5856829268,43.8605365854,44.1305365854,44.4006585366,44.6749756098,44.9566341463,45.240804878,45.521097561,45.7945365854,46.0525609756,46.2865853659,46.4909512195,46.6636097561,46.8065609756,46.9243658537,47.0265853659,47.1218536585,47.2167804878,47.3134390244,47.4049268293,47.4808292683,47.5336097561,47.5632195122,47.5740731707,47.5780731707,47.5871219512,47.616097561,47.6818536585,47.7958292683,47.973902439,48.2300243902,48.5592195122,48.9515853659,49.3931707317,49.8620731707,50.3319512195,50.7813902439,51.1914878049,51.555804878,51.8733170732
East Asia & Pacific (IDA & IBRD countries),TEA,45.3951321262,45.8360346299,46.5517914658,47.5783325062,48.9230010424,50.5101080633,52.2234753298,53.9269032759,55.5032039811,56.893248804,58.0709958935,59.052584391,59.9064123099,60.6919701502,61.4265619407,62.1233432375,62.7868309643,63.4093591893,63.9865938691,64.516494776,64.9975206343,65.4307678902,65.8229402403,66.1762506498,66.4957193114,66.7856086638,67.0473962345,67.2838669403,67.4976639315,67.6959188112,67.8837952097,68.0669276081,68.2500318368,68.4396203907,68.6434326504,68.8717865364,69.1322817967,69.4259050646,69.7484919224,70.0955986293,70.4591392674,70.8301992748,71.1960953839,71.5473836481,71.8769353571,72.1787361167,72.4501504336,72.694539711,72.9183620074,73.1233837618,73.314529158,73.4968580553,73.6750720795,73.8537378913,74.0355876328,74.2223087228
Europe & Central Asia (IDA & IBRD countries),TEC,63.8282794767,64.306179124,64.6283802465,65.0519707309,65.3485296732,65.6311937937,65.8252111626,65.8974587496,66.1073238779,66.1404079149,66.3758375458,66.5359713684,66.6769360571,66.7759965646,66.9125509597,66.7053199409,66.7007517376,66.6840060462,66.7339604012,66.7165671961,66.7638864527,67.0457931584,67.3521111307,67.4488444092,67.4257390224,67.7769550416,68.4872264399,68.6406458726,68.7393725417,68.665894259,68.5338433377,68.2712139856,67.7267385018,66.9983336754,66.7855909872,66.8511048749,67.328851768,67.9035155542,68.2402621884,68.1146049738,68.2110747338,68.4136321681,68.4545909534,68.5724912498,68.8864011456,69.0081510713,69.5734030913,70.0226745321,70.2950268304,70.8284018541,71.1255877686,71.6529676516,71.9322784018,72.2942911514,72.517347572,72.7158772981
Togo,TGO,40.2728292683,40.9164878049,41.555097561,42.1891707317,42.8192195122,43.4447073171,44.0686341463,44.6894634146,45.3082195122,45.9234146341,46.535097561,47.1422926829,47.7430487805,48.3374146341,48.9233658537,49.5024146341,50.0774878049,50.6475609756,51.2116341463,51.7647317073,52.3044146341,52.828195122,53.3296585366,53.8024146341,54.2390487805,54.6347317073,54.9881707317,55.2963902439,55.551804878,55.7442439024,55.8484390244,55.8350243902,55.6976829268,55.450195122,55.1134390244,54.7248780488,54.3296097561,53.9733902439,53.6964878049,53.5240243902,53.4686829268,53.5265853659,53.6732439024,53.8871219512,54.1632195122,54.5079756098,54.9307560976,55.4334390244,56.005902439,56.6306097561,57.2815609756,57.9307804878,58.5538536585,59.1323658537,59.655804878,60.1207560976
Thailand,THA,54.6993170732,55.2327317073,55.7452195122,56.2323902439,56.6942439024,57.1357804878,57.5663658537,57.9998292683,58.4450243902,58.9074146341,59.3905365854,59.8938536585,60.4120243902,60.9381219512,61.468195122,61.9942682927,62.5043658537,62.9959756098,63.4746341463,63.9484146341,64.4464390244,65.0073902439,65.6472926829,66.362097561,67.1311707317,67.9077804878,68.6316097561,69.249902439,69.7275121951,70.0524146341,70.2306097561,70.2872439024,70.2730731707,70.2374390244,70.2070243902,70.2006097561,70.2278780488,70.2823902439,70.3626341463,70.4755609756,70.6340731707,70.8490487805,71.1182439024,71.4339268293,71.7864634146,72.1572682927,72.5257317073,72.8744390244,73.1884390244,73.4617317073,73.6943658537,73.8923902439,74.071902439,74.2469268293,74.4220243902,74.601195122
Tajikistan,TJK,56.1535365854,56.5626097561,56.9746829268,57.3887560976,57.8018292683,58.2094146341,58.6085365854,58.9931707317,59.3608292683,59.7075121951,60.0292195122,60.3239756098,60.5942682927,60.8415609756,61.0693170732,61.2809512195,61.4803414634,61.6714634146,61.857804878,62.042902439,62.233902439,62.4415365854,62.6624390244,62.8870731707,63.1028780488,63.2769756098,63.3734146341,63.3734146341,63.2763658537,63.0958780488,62.8647804878,62.6275365854,62.433195122,62.3181463415,62.3015853659,62.3874878049,62.563195122,62.7973414634,63.0656829268,63.3636341463,63.6952926829,64.0748292683,64.510902439,65.002,65.5370243902,66.0972195122,66.661804878,67.2074878049,67.7145853659,68.1705365854,68.5633902439,68.8917804878,69.1669756098,69.4001707317,69.5979756098,69.7684390244
Turkmenistan,TKM,54.4586829268,54.871195122,55.287195122,55.7057073171,56.1227317073,56.5352439024,56.9372682927,57.3252926829,57.693804878,58.0393170732,58.3578292683,58.6453170732,58.903804878,59.1402926829,59.3592682927,59.5732439024,59.794195122,60.0316341463,60.2885853659,60.5655365854,60.8605609756,61.1692439024,61.4780731707,61.7725365854,62.0445365854,62.2764146341,62.4534146341,62.5744390244,62.6429268293,62.6704390244,62.6741463415,62.6782926829,62.7061463415,62.7713658537,62.8805609756,63.0302439024,63.2098292683,63.4001219512,63.5824634146,63.7512195122,63.8992926829,64.026097561,64.1376097561,64.2403902439,64.3374390244,64.4323658537,64.531804878,64.6388292683,64.7560731707,64.8835365854,65.0212439024,65.1656097561,65.3115853659,65.4565609756,65.5985365854,65.7364390244
Latin America & the Caribbean (IDA & IBRD countries),TLA,55.6197658112,56.1094891259,56.5793224748,57.0294500989,57.4629649726,57.8846751767,58.301331476,58.7186622244,59.1400058584,59.5666058368,59.9963264171,60.4243965786,60.8442532786,61.2523245544,61.6476835753,62.0318221652,62.4084462322,62.7827123224,63.1578001995,63.535498239,63.9148985077,64.294248185,64.6715082459,65.0408937185,65.4062551633,65.7661186579,66.120667435,66.473125578,66.8227825066,67.1750686389,67.532790786,67.9001893881,68.279174538,68.666180128,69.0615747999,69.4609851545,69.8602295615,70.2543687689,70.6358137652,71.0023407492,71.3489158286,71.6724278259,71.9746047354,72.2559543785,72.5203934024,72.769620229,73.0069948786,73.2363175108,73.4612344791,73.6849002313,73.9095565435,74.136581233,74.3650427516,74.5942490536,74.8248186372,75.0558923616
Timor-Leste,TLS,33.7371219512,34.2375609756,34.7390487805,35.2415365854,35.7434878049,36.282902439,36.9047804878,37.6066097561,38.3458780488,39.0515121951,39.5388780488,39.5852439024,39.098097561,38.0925121951,36.6781463415,35.1134146341,33.7373414634,32.8502682927,32.6517317073,33.1981219512,34.4359512195,36.1985121951,38.1862195122,40.1431707317,41.9438536585,43.4949756098,44.7665121951,45.8391219512,46.7923414634,47.6564634146,48.4847317073,49.3442682927,50.2802682927,51.3184146341,52.4634146341,53.6883170732,54.9431219512,56.1655121951,57.3108780488,58.3657560976,59.3469756098,60.2905853659,61.2376341463,62.207902439,63.1929756098,64.156097561,65.0478536585,65.824195122,66.4578292683,66.9466829268,67.3083902439,67.5767317073,67.8001463415,68.020902439,68.2591463415,68.5264146341
Middle East & North Africa (IDA & IBRD countries),TMN,46.6564950604,47.2429204449,47.8260685358,48.4102449562,48.9970185571,49.5828253676,50.1597323479,50.7228093096,51.2722201937,51.8136743678,52.3634762828,52.9432670752,53.5636175778,54.2233359297,54.911442469,55.5953939191,56.2322254294,56.7941160798,57.2727698094,57.6795425881,58.0543235466,58.4538762767,58.9295835762,59.5146710058,60.214629244,61.0154721507,61.8826003178,62.761422954,63.6041897959,64.3854086548,65.0865958484,65.7016612982,66.2477532312,66.7414854804,67.1885791403,67.5956302145,67.9671396081,68.3079284905,68.6231257997,68.9178554853,69.1958274315,69.4599745889,69.7110196789,69.9508835912,70.1835517152,70.4115820196,70.6366718694,70.8568632076,71.0704626149,71.277143844,71.4795367662,71.6805449666,71.8829354362,72.085222045,72.2843530225,72.47629854
