Country Name,Country Code,co2Emis_1960,co2Emis_1961,co2Emis_1962,co2Emis_1963,co2Emis_1964,co2Emis_1965,co2Emis_1966,co2Emis_1967,co2Emis_1968,co2Emis_1969,co2Emis_1970,co2Emis_1971,co2Emis_1972,co2Emis_1973,co2Emis_1974,co2Emis_1975,co2Emis_1976,co2Emis_1977,co2Emis_1978,co2Emis_1979,co2Emis_1980,co2Emis_1981,co2Emis_1982,co2Emis_1983,co2Emis_1984,co2Emis_1985,co2Emis_1986,co2Emis_1987,co2Emis_1988,co2Emis_1989,co2Emis_1990,co2Emis_1991,co2Emis_1992,co2Emis_1993,co2Emis_1994,co2Emis_1995,co2Emis_1996,co2Emis_1997,co2Emis_1998,co2Emis_1999,co2Emis_2000,co2Emis_2001,co2Emis_2002,co2Emis_2003,co2Emis_2004,co2Emis_2005,co2Emis_2006,co2Emis_2007,co2Emis_2008,co2Emis_2009,co2Emis_2010,co2Emis_2011,co2Emis_2012,co2Emis_2013
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86831939212,7.23519803341,10.0261792105,10.6347325993,27.8495872822,27.4080189409,22.8398182751,22.1019392034,20.7971968709,20.0414944475,19.4368629808,19.3110671613,19.6213091651,19.6523678445,25.5490847853,25.3813968008,24.9763032676,24.9085521094,24.5117838298,24.9645309954,24.7662150904,25.613208852,24.7474470415,24.8676332883,24.1655765278,23.8949859387,12.6908078809,8.49344394158
Afghanistan,AFG,0.0460598969516,0.053604303547,0.0737647910285,0.0742326845714,0.0862924517958,0.101467397112,0.107636955493,0.123734289182,0.115497740266,0.0868234604348,0.150290626843,0.166042043909,0.13076384967,0.136279785318,0.155649443523,0.168928648642,0.1547872055,0.182963615641,0.163159570966,0.168376670541,0.132858608267,0.151972881167,0.164803882775,0.203635581728,0.234987712826,0.297827727116,0.270891120892,0.271611659149,0.24847256121,0.235694613397,0.213449805431,0.187672723699,0.0996664742897,0.0891540360219,0.0800391696659,0.0726986180506,0.0660446984899,0.0596483821734,0.0552071700173,0.0423325971842,0.0385063399794,0.0304323146923,0.0402070107343,0.0445162208071,0.0393778277265,0.0529482148913,0.0637284718722,0.0854175063621,0.154504477554,0.241984570172,0.294091618467,0.41238723509,0.666337231201,0.670263743927
Angola,AGO,0.0974716037867,0.0790380850141,0.201289076264,0.192534734618,0.201003360893,0.191528410931,0.246412785252,0.154911578263,0.256315997861,0.419550563692,0.528697987908,0.492302233391,0.635214721021,0.670624323299,0.652023363139,0.574693142669,0.415850303449,0.434755038379,0.646179203875,0.636944237016,0.598717342859,0.571201904006,0.485251544642,0.515071546651,0.487395693878,0.443121443011,0.426768721688,0.518427800085,0.445557343915,0.423524277056,0.420284253935,0.405450105095,0.400678652519,0.430889258172,0.281092579375,0.769173425961,0.712306341438,0.48920937736,0.471373910158,0.574083594706,0.580352661444,0.57304749275,0.720768849364,0.497975072636,0.996165478162,0.979740025619,1.0988838982,1.19784398158,1.18152675944,1.2324945153,1.24340558491,1.25278925485,1.33084301775,1.24869322426
Albania,ALB,1.2581949279,1.37418604651,1.43995596379,1.18168114416,1.11174195967,1.16609904273,1.33305546459,1.36374630011,1.51955127698,1.5589675721,1.75323990543,1.98949792331,2.51591439803,2.30389741687,1.84900669071,1.91063363704,2.01358456246,2.27587639136,2.53062504043,2.89820851758,1.93505831032,2.6930239144,2.62485678513,2.68323991899,2.69429137362,2.65801538201,2.66535622065,2.41406081518,2.33159853052,2.78324307461,1.61562395977,1.31221260014,0.774724910911,0.72379029197,0.600203707768,0.654537133005,0.636625312931,0.490365059536,0.560271437384,0.960164411869,0.978174680895,1.05330417594,1.22954070947,1.41269719596,1.37621273504,1.41249821102,1.30257636722,1.32233485532,1.48431113889,1.49560019935,1.57857358392,1.80371472483,1.62463569693,1.66308048242
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37489428348,6.60926041019,7.12570149393,7.54644382776,7.97545440423,8.01928429423,7.78695000074,7.59061514083,7.31576070618,7.40672052883,7.2998719363,6.74621871566,6.51946591198,6.42788662191,6.1216523407,6.12259470213,5.86712994472,5.96108260242,6.08231420508
Arab World,ARB,0.643999153194,0.68548100341,0.761221101259,0.875362752865,0.999579039981,1.16626704522,1.2732638601,1.33204589219,1.54568691012,1.79077580754,1.80211333729,1.99444671567,2.11088818082,2.39795455136,2.27453613336,2.18531594626,2.56994768994,2.63289633585,2.74456307723,2.84402476295,3.07068762353,2.90845858644,2.7024180411,2.79470282221,2.95774256597,3.03702060457,3.25710516971,3.17034865645,3.2660619266,3.22768153955,3.14444822591,3.22168183808,3.41634684416,3.65456804698,3.67253039055,3.41912302044,3.31492716747,3.12752267,3.32953753011,3.30963290826,3.68473842288,3.59064455111,3.59118198087,3.78293237089,4.05450160893,4.16789492567,4.26677883446,4.10013781932,4.38862094695,4.54787085123,4.62798808663,4.52986642398,4.80713771413,4.63636153144
United Arab Emirates,ARE,0.11875769156,0.108836739943,0.163018351234,0.175222592103,0.132354958168,0.1463268645,0.159950399113,5.38368480706,6.78577355154,100.697669512,64.7450137793,75.9815320938,70.4836278399,77.1209872751,66.4606991624,56.0511379626,61.2902079472,51.8446432844,52.5828993901,38.4518097979,35.4041197869,32.8816281559,30.9964608317,28.2049909821,35.1882124692,35.8909695684,32.0839895994,30.5583724927,29.2102299183,31.0288261734,27.9592452104,28.9391353211,27.8613684495,29.8904510047,31.4043975873,28.8469907956,15.9700815241,15.424431391,28.7143215022,26.2284277091,35.6782592296,30.4911534225,24.1512489051,28.5525530662,27.7012080194,25.3623726461,23.6310894325,22.4398012133,22.8239471921,21.9085560837,19.4436902679,18.4012260629,19.3648945733,18.7782701882
Argentina,ARG,2.36747303165,2.44261589837,2.5223921045,2.3163563323,2.53837930331,2.64171434418,2.79265379932,2.85816229692,2.96985457979,3.27585099492,3.4511597978,3.65007861838,3.63785851313,3.7307911178,3.72669896624,3.64182249762,3.76877407359,3.7498713938,3.76275036851,3.99873311937,3.86885306737,3.57496786293,3.56708678941,3.57204209387,3.56014253446,3.31032707035,3.37724499959,3.66916872512,3.82044556785,3.62920190366,3.4407109082,3.52538389713,3.60858202657,3.47715996612,3.56936557448,3.65664558183,3.81145728525,3.85120269541,3.85787091571,4.01069876317,3.83557366545,3.5685998661,3.29154773489,3.52558427011,4.06905837986,4.14123681381,4.43482145227,4.38266888372,4.6829123953,4.41088989357,4.55849961172,4.60029069869,4.5694707849,4.46212794216
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60300307017,0.759983503306,0.824155363223,1.05997745965,0.809046418883,1.03230297541,1.08169212438,0.975803629439,1.12891860406,1.16116768366,1.003201493,1.1361383071,1.21475152402,1.46003047706,1.4811779618,1.72657017118,1.91153764158,1.50941187793,1.46562189489,1.71007076483,1.9760600738,1.89971173409
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,0.662642982345,0.849084497008,1.79679406412,1.44682128521,1.54013507157,2.47358549547,5.61344849256,8.91284722222,15.3134328358,19.083310575,6.88607708128,6.23822373438,5.40699086388,4.71027317101,6.05320409718,9.88326886285,5.58027253234,6.39051801029,6.70146200426,5.53580948754,1.94729174042,1.45543754961,4.04924911661,1.17730565753,2.07394839166,3.57335702617,3.62388641021,4.05372540349,4.26535238152,4.29294430186,4.50842629243,4.30405455599,4.23360661727,4.35186879808,4.34605892441,4.38332495687,4.26688528058,4.33970079368,4.17899587983,4.25712749447,4.12397109495,4.05255299387,4.20829759117,4.45284272508,4.61195145994,4.60157081555,4.7106012115,5.13647257088,5.19450031359,5.44675735459,5.53956750932,5.36340747396,5.41844653172,5.36045346745
Australia,AUS,8.58293664259,8.6415690165,8.83568804692,9.22643990868,9.75907343064,10.6223213909,10.3280924384,10.9556247987,11.2101677076,11.6005543505,11.8028905413,11.8091175698,11.951631555,12.779686846,12.5596687313,12.6598998057,12.4167917765,13.2318961387,14.0698586154,14.1290919802,15.0249160087,15.4325008374,15.4249318092,14.6400841304,15.2209752959,15.3084102043,14.9805731534,15.7469578022,15.7961677817,16.5198629151,15.4528816708,15.1279662115,15.3177685053,15.7014518028,15.5765862784,15.5965188136,16.5018003932,16.5142732084,16.9356958474,17.1902976857,17.2006098261,16.7333674342,17.3704517744,16.9019589453,17.0265153472,17.1697114461,17.6513983061,17.8652600396,18.1608756565,18.200181959,16.9209536691,16.8626009533,16.519385783,16.3473020462
Austria,AUT,4.37331882803,4.49636164096,4.7553616731,5.15519374744,5.39100398807,5.25219653333,5.36172468262,5.41773672705,5.7111101042,6.00632517835,6.78880730716,6.95365191197,7.44851681444,7.93086698528,7.56269727826,7.17684485472,7.72125001239,7.42806328393,7.60137180397,8.15884640221,6.92847899968,7.4161606139,7.11212494092,6.87437327342,7.21427866725,7.23076635314,7.14430485162,7.62341981463,7.03203069826,7.10244899743,7.51324615615,7.94409618394,7.22623642836,7.2230173093,7.18926470095,7.52151610701,7.93800829927,7.86366799568,7.98100426124,7.74113061482,7.75549349528,8.17270746042,8.27915181929,8.86834080678,8.83637597122,9.02016959759,8.72729787156,8.40509279323,8.28672332475,7.55567020479,8.11059300734,7.77653815826,7.38403220122,7.36005578241
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61863709022,6.46458585724,5.52535856259,4.33741444372,4.02647275538,3.80302274105,4.00297560976,3.57983539507,3.6662710285,3.54710548378,3.62394434621,3.7181699275,3.86322963944,4.09180192687,4.61629986269,3.55534009998,4.0513834813,3.56566821757,3.38822587906,3.64617987717,3.82487717012,3.78506883601
Burundi,BDI,,,0.0152069915391,0.0161600663881,0.0158330230675,0.0119140602156,0.0151205798924,0.0147404641216,0.0165865908698,0.021623036819,0.0180399617317,0.0209220597645,0.0206938564867,0.0204946779228,0.025334488481,0.0209742954775,0.0235336965215,0.0259104876643,0.0262345647468,0.0274112889361,0.0356294681061,0.0373368977753,0.0363874808291,0.0461597112703,0.048130812908,0.0491318071673,0.0499883818559,0.053669841387,0.0499790107236,0.0569493623514,0.0541712869651,0.0608735254548,0.0544109586428,0.0565483440927,0.0568323118356,0.0541249347121,0.0528096482899,0.0497964937402,0.0474205153538,0.0455532303223,0.0452595385572,0.0313235747912,0.0315484422098,0.0232051456664,0.0275696973081,0.0207474072476,0.0243659627758,0.0235550450887,0.0232194191516,0.0224623988297,0.0242600317329,0.0267619600712,0.0302969727599,0.0305577412771
Belgium,BEL,9.94159407413,10.1038719949,10.6411896304,11.3869287399,11.0536547171,11.1416555549,11.042019428,11.2172567535,12.3256871263,12.8154496066,13.0101788101,12.5634251758,13.4726952569,14.2554864028,13.8369655456,12.4583038967,13.241679786,12.8754387175,13.8070579359,14.2392338153,13.7232962737,12.5795550697,11.9266847823,10.3120794235,10.6969663854,10.5974402504,10.4315417139,10.4471727823,10.1351438506,10.8135149421,10.639671673,11.0909998775,11.1464825143,10.6750345457,11.1051094038,11.0811520507,11.6238342475,11.3288520215,11.601914553,11.1730267457,11.2296676991,11.1337155145,10.3854951013,10.8821141749,10.661290222,10.3553929875,10.1510389973,9.74477719115,9.75198480893,9.28629759682,9.8894293524,8.95362211507,8.28483788011,8.37163927479
Benin,BEN,0.0663540632549,0.05204863036,0.0542088045208,0.0475885607499,0.0553035327238,0.0571149950843,0.0423826477103,0.0522840763395,0.0551707091657,0.0707502575718,0.09695262229,0.0985563258675,0.127712647693,0.12248163344,0.127701407913,0.135891141795,0.0777841479959,0.0865100559526,0.103019122357,0.101339606237,0.13909713451,0.112310111075,0.125105341173,0.11255290599,0.120856597316,0.173986403182,0.155688061272,0.11885727465,0.118496584099,0.130855167286,0.142157591369,0.159512216625,0.168501161802,0.205206742846,0.221397671073,0.224780452584,0.207591275658,0.193809927632,0.187593089309,0.234411618797,0.232860968568,0.256497595713,0.285000234394,0.313037269191,0.32364215554,0.299985405072,0.471267008856,0.531738986806,0.507237393117,0.521063185308,0.55328325901,0.560856151519,0.566492996312,0.579494766879
Burkina Faso,BFA,0.00911190221002,0.0187299012377,0.0170031163274,0.017504203113,0.0215752840324,0.0198412713749,0.0195336585392,0.0192168509975,0.018894962331,0.0218898681554,0.0254263414287,0.0262689134272,0.0276984048371,0.0284432144903,0.0339984447125,0.0357491902326,0.0333149135078,0.0389683595786,0.0533417018601,0.0610098901982,0.0634201900879,0.0797954520727,0.0804272829062,0.0809238098027,0.0618369453538,0.0616868189537,0.0605718742899,0.0635187178297,0.0662633783712,0.0957371731328,0.0661730507452,0.0692874231886,0.067840844787,0.0656433996798,0.0657450429823,0.0621471339891,0.0682298658648,0.0756398219088,0.078563832949,0.0825527504451,0.0897168507561,0.0835042685025,0.0817334927724,0.0851940172685,0.0847059710132,0.0838753443059,0.0983758469503,0.115526282202,0.130556621682,0.12763333758,0.125717252122,0.137496219353,0.158663009401,0.179132409048
Bangladesh,BGD,,,,,,,,,,,,,0.0519149459292,0.0663027432122,0.0666923614734,0.0682941303488,0.0763046428385,0.0775725791788,0.0781156246567,0.0839038554522,0.0937557428509,0.0947396186116,0.0999811864875,0.0932334831839,0.100553934659,0.109813431597,0.119727918753,0.120625234274,0.13415058121,0.129867980102,0.146281294378,0.146609266004,0.159575352841,0.153104601948,0.163272687733,0.192205167298,0.198152233397,0.202365813667,0.190182467547,0.195585169618,0.211802224729,0.242020015934,0.246756218255,0.256602160449,0.266823041488,0.275246593833,0.299529172871,0.301805179831,0.333048176464,0.357743713809,0.394298219387,0.413035674249,0.433323129797,0.437583522511
