Country Name,Country Code,school_enrl_1960,school_enrl_1961,school_enrl_1962,school_enrl_1963,school_enrl_1964,school_enrl_1965,school_enrl_1966,school_enrl_1967,school_enrl_1968,school_enrl_1969,school_enrl_1970,school_enrl_1971,school_enrl_1972,school_enrl_1973,school_enrl_1974,school_enrl_1975,school_enrl_1976,school_enrl_1977,school_enrl_1978,school_enrl_1979,school_enrl_1980,school_enrl_1981,school_enrl_1982,school_enrl_1983,school_enrl_1984,school_enrl_1985,school_enrl_1986,school_enrl_1987,school_enrl_1988,school_enrl_1989,school_enrl_1990,school_enrl_1991,school_enrl_1992,school_enrl_1993,school_enrl_1994,school_enrl_1995,school_enrl_1996,school_enrl_1997,school_enrl_1998,school_enrl_1999,school_enrl_2000,school_enrl_2001,school_enrl_2002,school_enrl_2003,school_enrl_2004,school_enrl_2005,school_enrl_2006,school_enrl_2007,school_enrl_2008,school_enrl_2009,school_enrl_2010,school_enrl_2011,school_enrl_2012,school_enrl_2013,school_enrl_2014,school_enrl_2015
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01177000999,0.992529988289,0.99975001812,0.989000022411,0.977540016174,0.952910006046,0.963500022888,0.9676399827,0.98723000288,1.00573003292,1.00407004356,1.01434004307,1.00870001316,1.02143001556,,,
Afghanistan,AFG,,,,,,,,,,,0.167620003223,0.161620005965,0.16126999259,0.169190004468,0.167410001159,0.174390003085,0.181160002947,0.192839995027,0.199399992824,,,0.243000000715,0.48519000411,,0.471810013056,0.478139996529,0.533559978008,,0.502579987049,,,0.538160026073,,0.360819995403,0.430269986391,0.471839994192,,,,,,0.0,,0.544319987297,0.40625,0.548959970474,0.575089991093,0.569609999657,0.589020013809,0.613089978695,0.629509985447,0.66777998209,0.673780024052,0.659749984741,0.658339977264,0.651709973812
Angola,AGO,,,,,,,,,,,,0.561800003052,0.581579983234,,,,,,,,,,0.820980012417,0.786180019379,,,,,,,,,,,,,,,0.81708997488,,,,,,,,,,0.841690003872,0.833209991455,0.788010001183,0.639500021935,,,,
Albania,ALB,,,,,,,,,,,,,,,,,0.931029975414,,0.932420015335,0.936640024185,0.926379978657,0.922100007534,0.933160007,0.958620011806,0.949919998646,0.939170002937,0.938549995422,0.941150009632,0.954439997673,0.952289998531,0.942910015583,0.944400012493,1.00516998768,1.03440999985,0.995140016079,0.971119999886,0.975189983845,0.958119988441,,0.955219984055,0.962689995766,0.973630011082,,,0.966570019722,0.964990019798,0.972899973392,0.985800027847,0.988160014153,1.00293004513,0.984440028667,0.968909978867,0.960770010948,0.951499998569,0.943859994411,0.946659982204
Andorra,AND,,,,,,,,,,,,,,,,1.14837002754,,,,,,,,1.02509999275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,0.620239973068,0.618380010128,0.624469995499,0.631839990616,0.639069974422,0.643679976463,0.652339994907,0.663139998913,0.671779990196,0.692239999771,0.703649997711,0.715539991856,0.725409984589,0.733229994774,0.740369975567,0.749419987202,0.758170008659,0.767409980297,0.771030008793,0.782100021839,0.792689979076,0.799300014973,0.812950015068,0.820330023766,0.823310017586,0.836749970913,0.821780025959,0.845139980316,0.856440007687,0.86769002676,0.876439988613,0.885190010071,0.894770026207,0.903240025043,0.907090008259,0.914059996605,0.91778999567,0.920210003853,0.922550022602,0.923330008984,0.925040006638,0.924019992352,0.930369973183,0.931039988995,0.930490016937,
United Arab Emirates,ARE,,,,,,,,,,,,,,0.837939977646,0.936959981918,0.943719983101,0.952509999275,1.01935994625,1.05232000351,1.03334999084,0.997300028801,0.957790017128,0.9815300107,0.979229986668,0.972140014172,0.973450005054,0.990559995174,1.03006994724,1.04917001724,1.05782997608,1.05730998516,1.04921996593,1.04694998264,1.04369997978,1.02566003799,1.00943005085,,1.03348994255,1.04579997063,,,,,,,,,,,,,,,,,
Argentina,ARG,,,,,,,,,,,1.03324997425,1.0298999548,1.02277994156,1.02951002121,1.02658998966,1.03029000759,1.02727997303,1.02866005898,1.03747999668,1.02321004868,1.02485001087,1.02455997467,1.01254999638,,1.01809000969,1.02794003487,1.01475000381,1.01620995998,1.05675005913,,,,,,,,1.02532994747,1.02834999561,1.01707005501,1.03150999546,1.02401995659,1.02514004707,1.02435004711,1.02714002132,1.03167998791,1.03586995602,1.04244995117,1.04797005653,1.05098998547,1.0479799509,1.03597998619,1.0396900177,1.03366994858,1.03007996082,1.0296599865,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05761003494,,,,,,,1.13171994686,1.15051996708,1.16696000099,,,,,,1.00629997253
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,1.14929997921,1.01877999306,,1.03751003742,0.84091001749,,,,,,,,,,,,,,0.94033998251,,,,,,,,,,,,,,,0.966560006142,0.949329972267,0.973940014839,0.955089986324,0.950869977474,1.024979949,,0.961260020733,0.975969970226
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0003900528,0.996399998665,0.99567002058,0.997449994087,1.01980996132,1.02829003334,1.01208996773,1.01882994175,1.00923001766,1.00108003616,1.00384998322,0.996479988098,0.992829978466,1.00442004204,1.00635004044,1.00162005425,0.9899700284,0.981819987297,0.979950010777,0.978349983692,0.967549979687,0.967949986458,
