Country Name,Country Code,BBsubs_1960,BBsubs_1961,BBsubs_1962,BBsubs_1963,BBsubs_1964,BBsubs_1965,BBsubs_1966,BBsubs_1967,BBsubs_1968,BBsubs_1969,BBsubs_1970,BBsubs_1971,BBsubs_1972,BBsubs_1973,BBsubs_1974,BBsubs_1975,BBsubs_1976,BBsubs_1977,BBsubs_1978,BBsubs_1979,BBsubs_1980,BBsubs_1981,BBsubs_1982,BBsubs_1983,BBsubs_1984,BBsubs_1985,BBsubs_1986,BBsubs_1987,BBsubs_1988,BBsubs_1989,BBsubs_1990,BBsubs_1991,BBsubs_1992,BBsubs_1993,BBsubs_1994,BBsubs_1995,BBsubs_1996,BBsubs_1997,BBsubs_1998,BBsubs_1999,BBsubs_2000,BBsubs_2001,BBsubs_2002,BBsubs_2003,BBsubs_2004,BBsubs_2005,BBsubs_2006,BBsubs_2007,BBsubs_2008,BBsubs_2009,BBsubs_2010,BBsubs_2011,BBsubs_2012,BBsubs_2013,BBsubs_2014,BBsubs_2015
United Kingdom,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0897179041111,0.559207325981,2.28241088625,5.21576054349,10.2092140456,16.4180143461,21.4661915237,25.596043717,28.2228987122,28.9740552298,30.8565075923,32.9808038112,34.5406053841,36.4921855925,37.3761006472,38.6134509169
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00918354053252,0.0199055051054,0.0308876046071,0.0420793394873,0.0534041694579,0.607283078484,1.05590119648,2.54121131277,3.40824427023,4.15688201037,5.6810964957,10.6247427288,11.9083967707,13.8988656074,14.7419236434
Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00431954786429,0.00890383919143,0.0580878821497,0.0719046665849,0.0994368748712,0.119878270435,0.214669301086,0.262478432322,0.26859086616,0.265570614143,0.265371483393,0.271016569321
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7661530051,35.6647181486,38.5619574875,40.9090909091,,44.3156638827,53.0660216666
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00459726446214,0.00537560710763,0.00611285749628,0.00681129950314,0.00747266375056,0.00809863095883
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00258632952424,0.00494240015482,,0.0175885278337,0.0190115996106,0.0184237612477,0.0208253998477,0.0251878134788,0.0279138578347,0.0236848295422,0.143691257097,0.181363101314
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0504215239401,0.0615677109371,0.0723148817174,0.0851985178274,0.0799061517999,0.0587875665695
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0298187022901,0.028961396068,0.0281417971352,0.0273545837924,0.0265937407199,0.1703614219,0.187989877038,0.201006117105,0.464720599619,0.498804078343,0.475248069735
Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0949624573775,0.466276319398,1.45008323943,4.41691365421,9.19387065049,13.5973241332,17.2698167956,20.2759064155,22.1636874429,24.1754181866,26.1789505562,28.3604998524,30.9103507126
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551425577136,,0.593249232867,3.12964419967,5.36897152818,7.33689880872,8.61524843167,11.861432845,13.7919504762,13.9653958163,15.1683209617,16.9976486586,17.6956435848,18.5174424054
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209758161179,5.83674689264,12.5155830246,16.1897233202,18.5631061126,21.1962946625,22.1676183068,21.9113641991,20.9991876523,20.0397978411,18.9516907365,18.1932684907,17.4596246181
Guatemala,GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213787942016,0.300106791848,0.427994408441,0.6923935694,1.11516286954,1.80593820372,,1.8584176936,2.28097601253,2.73481602506,2.82894088462
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11880422205,,,,,,1.70528828846,1.70551449687,1.89130064746,1.88158554942,,,1.81681645309,1.79055304215,
Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262869430125,,0.306591191409,0.655375068161,0.873562041085,1.42381755596,2.59710045241,3.76944537693,4.61473237679,5.62726070299,6.64763109963
High income,HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67295332225,3.44794012591,5.72396216458,8.19742696419,11.3720135503,15.1045594267,18.5552609172,21.6725052074,23.5760707232,25.0056400412,26.3165650853,27.5084212069,28.4536094162,29.4151206988,30.1719888373,30.9718740783
"Hong Kong SAR, China",HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166876096167,1.28429809048,6.50227400373,10.3940341971,15.0315845638,18.358675887,22.0073361606,24.0564526209,25.9922661634,27.3828839923,27.7772993912,29.3049024323,30.749836088,32.3968953656,31.5456558466,31.028232736,31.4243862136,32.1024776316
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0131212863479,0.736690734812,0.772154600782,0.8519839243,1.91086788861,2.34307864144
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0270130850096,0.0474705156164,0.0678715802822,0.0828419377177,0.0832605578354,0.135616770273,0.158387834804,0.193387623614,0.251538926636,0.296204823511
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0770735621814,0.595494335303,2.6476141738,5.75069525632,8.85832335661,12.1094894964,16.4911619267,19.3143565035,20.6492080386,21.3404212543,22.2560291898,23.0448235084,23.1757537645
Haiti,HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0127125065696
Hungary,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332547185267,0.307803058611,1.09610072821,2.60604089253,4.06321605966,6.45494575852,11.900247861,14.45723028,17.6245647795,19.7059523705,21.5626573635,23.1396505902,24.0175237152,26.0891450788,25.9789797278,27.4309895397
IBRD only,IBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03120283711,0.136890962475,0.379592517392,0.870930111634,1.32778303412,1.91708032337,2.68823428616,3.53144464653,4.45105677117,5.42802182635,6.47170679114,7.21630406233,7.77647998918,8.24669562778,10.2375995879
IDA & IBRD total,IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134211522579,0.359778345723,0.80112753636,1.10066075154,1.62008959159,2.13524344051,2.79132688122,3.53605040712,4.20171011393,5.2510727383,5.6804656291,6.06447699368,6.44712883069,7.93557241211
IDA total,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0145798109398,,0.0471557219019,0.0795449036236,0.147167847461,0.197866883006,0.318716388352,0.362912634672,0.479792737933,0.699363068338,0.890012600292
